gross,gross_imputed_mean,facenumber_in_poster,TittleCode,title_year,country
760505847.0,0,0,tt0499549,0,USA
309404152.0,0,0,tt0449088,0,USA
448130642.0,0,0,tt1345836,0,USA
73058679.0,0,0,tt0401729,0,USA
336530303.0,0,0,tt0413300,0,USA
200807262.0,0,0,tt0398286,0,USA
458991599.0,0,0,tt2395427,0,USA
330249062.0,0,0,tt2975590,0,USA
200069408.0,0,0,tt0348150,0,USA
423032628.0,0,0,tt0383574,0,USA
89289910.0,0,0,tt1210819,0,USA
291021565.0,0,0,tt0770828,0,USA
141614023.0,0,0,tt0499448,0,USA
623279547.0,0,0,tt0848228,0,USA
241063875.0,0,0,tt1298650,0,USA
179020854.0,0,0,tt1409024,0,USA
262030663.0,0,0,tt0948470,0,USA
105219735.0,0,0,tt0955308,0,USA
258355354.0,0,0,tt1170358,0,USA
70083519.0,0,0,tt0385752,0,USA
658672302.0,0,0,tt0120338,0,USA
407197282.0,0,0,tt3498820,0,USA
65173160.0,0,0,tt1440129,0,USA
652177271.0,0,0,tt0369610,0,USA
373377893.0,0,0,tt0316654,0,USA
408992272.0,0,0,tt1300854,0,USA
334185206.0,0,0,tt1014759,0,USA
268488329.0,0,0,tt1453405,0,USA
402076689.0,0,0,tt1055369,0,USA
245428137.0,0,0,tt2109248,0,USA
234903076.0,0,0,tt1623205,0,USA
202853933.0,0,0,tt1872181,0,USA
172051787.0,0,0,tt1104001,0,USA
191450875.0,0,0,tt1216475,0,USA
116593191.0,0,0,tt1133985,0,USA
414984497.0,0,0,tt0435761,0,USA
125320003.0,0,0,tt0438488,0,USA
350034110.0,0,0,tt2820852,0,USA
202351611.0,0,0,tt0816711,0,USA
233914986.0,0,0,tt1877832,0,USA
228756232.0,0,0,tt1408101,0,USA
65171860.0,0,0,tt1351685,0,USA
90755643.0,0,0,tt0473075,0,USA
101785482.0,0,0,tt1663662,0,USA
352358779.0,0,0,tt1399103,0,USA
317011114.0,0,0,tt0367882,0,USA
123070338.0,0,0,tt1979388,0,USA
237282182.0,0,0,tt1217209,0,USA
130468626.0,0,0,tt2660888,0,USA
223806889.0,0,0,tt0910970,0,USA
140080850.0,0,0,tt0293564,0,USA
166112167.0,0,0,tt1190080,0,USA
137850096.0,0,0,tt1067106,0,USA
47375327.0,0,0,tt1617661,0,USA
124051759.0,0,0,tt0918940,0,USA
291709845.0,0,0,tt0363771,0,USA
154985087.0,0,0,tt3385516,0,USA
533316061.0,0,0,tt0468569,0,USA
292979556.0,0,0,tt1049413,0,USA
198332128.0,0,0,tt0892782,0,USA
318298180.0,0,0,tt0371746,0,USA
73820094.0,0,0,tt0970179,0,USA
113745408.0,0,0,tt0120891,0,USA
102176165.0,0,0,tt0859163,0,USA
161087183.0,0,0,tt1386697,0,USA
100289690.0,0,0,tt0413099,0,USA
100189501.0,0,0,tt1631867,0,USA
88246220.0,0,0,tt0114898,0,USA
150167630.0,0,0,tt1046173,0,USA
356454367.0,0,0,tt2096673,0,USA
312057433.0,0,0,tt1228705,0,USA
155111815.0,0,0,tt1735898,0,USA
241407328.0,0,0,tt1587310,0,USA
208543795.0,0,0,tt2103281,0,USA
38297305.0,0,0,tt1335975,0,USA
259746958.0,0,0,tt1843866,0,USA
238371987.0,0,0,tt0892791,0,USA
93417865.0,0,0,tt1964418,0,USA
222487711.0,0,0,tt2245084,0,USA
189412677.0,0,0,tt1772341,0,USA
665426.0,0,0,tt0338348,0,USA
102315545.0,0,0,tt1628841,0,USA
217387997.0,0,0,tt0892769,0,USA
150350192.0,0,0,tt0181852,0,USA
333130696.0,0,0,tt2015381,0,USA
187991439.0,0,0,tt0816692,0,USA
292568851.0,0,0,tt1375666,0,USA
303001229.0,0,0,tt0903624,0,USA
144512310.0,0,0,tt0232500,0,USA
127490802.0,0,0,tt0421715,0,USA
146405371.0,0,0,tt1270798,0,USA
281666058.0,0,0,tt1951266,0,USA
63143812.0,0,0,tt0963966,0,USA
60655503.0,0,0,tt0409182,0,USA
76846624.0,0,0,tt2567026,0,USA
320706665.0,0,0,tt0413267,0,USA
46978995.0,0,0,tt0803096,0,USA
89732035.0,0,0,tt1340138,0,USA
104383624.0,0,0,tt0980970,0,USA
198539855.0,0,0,tt0213149,0,USA
318759914.0,0,0,tt0418279,0,USA
227946274.0,0,0,tt0448157,0,USA
256386216.0,0,0,tt0480249,0,USA
206456431.0,0,0,tt0367594,0,USA
206435493.0,0,0,tt0382932,0,USA
205343774.0,0,0,tt0372784,0,USA
179982968.0,0,0,tt0479952,0,USA
177243721.0,0,0,tt1078912,0,USA
179883016.0,0,0,tt0458525,0,USA
400736600.0,0,0,tt2294629,0,USA
281492479.0,0,0,tt0234215,0,USA
206360018.0,0,0,tt1981115,0,USA
133375846.0,0,0,tt0808151,0,USA
181015141.0,0,0,tt0800369,0,USA
114053579.0,0,0,tt0397892,0,USA
119420252.0,0,0,tt0436339,0,USA
83640426.0,0,0,tt1646987,0,USA
79711678.0,0,0,tt1077368,0,USA
61937495.0,0,0,tt0780653,0,USA
124051759.0,0,0,tt0918940,0,USA
126597121.0,0,0,tt0389790,0,USA
165230261.0,0,0,tt1302011,0,USA
131564731.0,0,0,tt0938283,0,USA
133382309.0,0,0,tt0317919,0,USA
73103784.0,0,0,tt2334879,0,USA
21379315.0,0,0,tt1305591,0,USA
34964818.0,0,0,tt3332064,0,USA
111505642.0,0,0,tt0864835,0,USA
133228348.0,0,0,tt0332452,0,USA
216366733.0,0,0,tt1277953,0,USA
118099659.0,0,0,tt1289401,0,USA
201573391.0,0,0,tt0120591,0,USA
190418803.0,0,0,tt0120912,0,USA
82161969.0,0,0,tt0442933,0,USA
143523463.0,0,0,tt2267968,0,USA
209364921.0,0,0,tt1229238,0,USA
103400692.0,0,0,tt1446192,0,USA
110332737.0,0,0,tt0369441,0,USA
111110575.0,0,0,tt0325710,0,USA
257704099.0,0,0,tt0796366,0,USA
403706375.0,0,0,tt0145487,0,USA
176997107.0,0,0,tt1646971,0,USA
31141074.0,0,0,tt2404233,0,USA
31704416.0,0,0,tt0382992,0,USA
107503316.0,0,0,tt0409459,0,USA
129734803.0,0,0,tt0122151,0,USA
132122995.0,0,0,tt0286716,0,USA
122512052.0,0,0,tt1583421,0,USA
32131830.0,0,0,tt0173840,0,USA
176636816.0,0,0,tt0458339,0,USA
93926386.0,0,0,tt0311113,0,USA
292298923.0,0,0,tt1673434,0,USA
134518390.0,0,0,tt0800080,0,USA
48468407.52680933,1,0,tt0086759,0,USA
183635922.0,0,0,tt1663202,0,USA
83024900.0,0,0,tt1860353,0,USA
123207194.0,0,0,tt1192628,0,USA
83348920.0,0,0,tt1911658,0,USA
227137090.0,0,0,tt0440963,0,USA
215395021.0,0,0,tt0441773,0,USA
180191634.0,0,0,tt0478970,0,USA
424645577.0,0,0,tt1951264,0,USA
292298923.0,0,0,tt1673434,0,USA
177343675.0,0,0,tt2224026,0,USA
234277056.0,0,0,tt0407304,0,USA
138396624.0,0,0,tt0172156,0,USA
149234747.0,0,0,tt0448694,0,USA
118311368.0,0,0,tt0944835,0,USA
101160529.0,0,0,tt1959490,0,USA
77564037.0,0,0,tt0983193,0,USA
60522097.0,0,0,tt1815862,0,USA
137748063.0,0,0,tt0130623,0,USA
113733726.0,0,0,tt2692250,0,USA
148337537.0,0,0,tt1001526,0,USA
33592415.0,0,0,tt0790736,0,USA
305388685.0,0,0,tt0325980,0,USA
337103873.0,0,0,tt1951265,0,USA
217536138.0,0,0,tt0382625,0,USA
131536019.0,0,0,tt2357291,0,USA
209805005.0,0,0,tt1596343,0,USA
186830669.0,0,0,tt1515091,0,USA
163192114.0,0,0,tt0800320,0,USA
119412921.0,0,0,tt0100802,0,USA
32694788.0,0,0,tt0120657,0,USA
113165635.0,0,0,tt1194173,0,USA
107285004.0,0,0,tt0118688,0,USA
260031035.0,0,0,tt0170016,0,USA
186739919.0,0,0,tt0319262,0,USA
215397307.0,0,0,tt0120755,0,USA
182618434.0,0,0,tt0177971,0,USA
131920333.0,0,0,tt0486576,0,USA
124976634.0,0,0,tt0454876,0,USA
115802596.0,0,0,tt0259324,0,USA
100685880.0,0,0,tt0305357,0,USA
126464904.0,0,0,tt1446714,0,USA
64736114.0,0,0,tt0243585,0,USA
93050117.0,0,0,tt1535108,0,USA
57637485.0,0,0,tt0296572,0,USA
58607007.0,0,0,tt1234721,0,USA
43929341.0,0,0,tt0811080,0,USA
30212620.0,0,0,tt1341188,0,USA
76418654.0,0,0,tt1013743,0,USA
89021735.0,0,0,tt1483013,0,USA
380262555.0,0,0,tt0121766,0,USA
310675583.0,0,0,tt0121765,0,USA
289907418.0,0,0,tt0198781,0,USA
132550960.0,0,0,tt1430132,0,USA
474544677.0,0,0,tt0120915,0,USA
187165546.0,0,0,tt0481499,0,USA
40911830.0,0,0,tt0245562,0,USA
47952020.0,0,0,tt2381991,0,USA
190871240.0,0,0,tt1291150,0,USA
67155742.0,0,0,tt0118928,0,USA
81638674.0,0,0,tt3949660,0,USA
56114221.0,0,0,tt1502712,0,USA
250863268.0,0,0,tt0477347,0,USA
155181732.0,0,0,tt2126355,0,USA
113330342.0,0,0,tt0187393,0,USA
125531634.0,0,0,tt0349903,0,USA
186336103.0,0,0,tt0356910,0,USA
129995817.0,0,0,tt2908446,0,USA
102608827.0,0,0,tt0338751,0,USA
42776259.0,0,0,tt1320261,0,USA
98780042.0,0,0,tt0990407,0,USA
48468407.52680933,1,0,tt0084967,0,USA
106369117.0,0,0,tt1253863,0,USA
142614158.0,0,0,tt0472181,0,USA
50026353.0,0,0,tt0299172,0,USA
66002193.0,0,0,tt3410834,0,USA
85463309.0,0,0,tt0433035,0,USA
71017784.0,0,0,tt2017020,0,USA
48068396.0,0,0,tt0120179,0,USA
61656849.0,0,0,tt1731141,0,USA
134520804.0,0,0,tt0337978,0,USA
24004159.0,0,0,tt0327437,0,USA
58183966.0,0,0,tt0248667,0,USA
100446895.0,0,0,tt0312528,0,USA
144795350.0,0,0,tt0343818,0,USA
47396698.0,0,0,tt0320661,0,USA
104374107.0,0,0,tt0780521,0,USA
228430993.0,0,0,tt3659388,0,USA
35799026.0,0,0,tt0399201,0,USA
101643008.0,0,0,tt0187078,0,USA
187670866.0,0,0,tt0172495,0,USA
132014112.0,0,0,tt0181689,0,USA
180011740.0,0,0,tt0133152,0,USA
204843350.0,0,0,tt0103064,0,USA
97030725.0,0,0,tt1152836,0,USA
130127620.0,0,0,tt0765429,0,USA
146282411.0,0,0,tt0111503,0,USA
65452312.0,0,0,tt1111422,0,USA
148383780.0,0,0,tt0970866,0,USA
119219978.0,0,0,tt1386588,0,USA
101228120.0,0,0,tt0116213,0,USA
162804648.0,0,0,tt1853728,0,USA
100117603.0,0,0,tt0116583,0,USA
89296573.0,0,0,tt0120917,0,USA
85017401.0,0,0,tt1764651,0,USA
173005002.0,0,0,tt0368891,0,USA
75030163.0,0,0,tt0449010,0,USA
34964818.0,0,0,tt3332064,0,USA
107515297.0,0,0,tt0848537,0,USA
67631157.0,0,0,tt1243957,0,USA
66862068.0,0,0,tt0146675,0,USA
116866727.0,0,0,tt0993846,0,USA
184031112.0,0,0,tt0112462,0,USA
54700065.0,0,0,tt0120201,0,USA
55673333.0,0,0,tt1219342,0,USA
40198710.0,0,0,tt0327554,0,USA
72660029.0,0,0,tt1267297,0,USA
38120554.0,0,0,tt0133240,0,USA
49392095.0,0,0,tt0457400,0,USA
39292022.0,0,0,tt2333784,0,USA
28772222.0,0,0,tt2058673,0,USA
17010646.0,0,0,tt0362165,0,USA
